2011 National Household Survey (NHS) Profiles Files / Profile of Census Tracts

"COL0","GEO UID"
"COL1","Census Tract name"
"COL2","Income of individuals in 2010 (part 1) - Both sexes / Total income in 2010 of population aged 15 years and over; Both sexes"
"COL3","Income of individuals in 2010 (part 1) - Both sexes / Total income in 2010 of population aged 15 years and over; Both sexes / Without income; Both sexes"
"COL4","Income of individuals in 2010 (part 1) - Both sexes / Total income in 2010 of population aged 15 years and over; Both sexes / With income; Both sexes"
"COL5","Income of individuals in 2010 (part 1) - Both sexes / Total income in 2010 of population aged 15 years and over; Both sexes / With income; Both sexes / Under $5,000; Both sexes"
"COL6","Income of individuals in 2010 (part 1) - Both sexes / Total income in 2010 of population aged 15 years and over; Both sexes / With income; Both sexes / $5,000 to $9,999; Both sexes"
"COL7","Income of individuals in 2010 (part 1) - Both sexes / Total income in 2010 of population aged 15 years and over; Both sexes / With income; Both sexes / $10,000 to $14,999; Both sexes"
"COL8","Income of individuals in 2010 (part 1) - Both sexes / Total income in 2010 of population aged 15 years and over; Both sexes / With income; Both sexes / $15,000 to $19,999; Both sexes"
"COL9","Income of individuals in 2010 (part 1) - Both sexes / Total income in 2010 of population aged 15 years and over; Both sexes / With income; Both sexes / $20,000 to $29,999; Both sexes"
"COL10","Income of individuals in 2010 (part 1) - Both sexes / Total income in 2010 of population aged 15 years and over; Both sexes / With income; Both sexes / $30,000 to $39,999; Both sexes"
"COL11","Income of individuals in 2010 (part 1) - Both sexes / Total income in 2010 of population aged 15 years and over; Both sexes / With income; Both sexes / $40,000 to $49,999; Both sexes"
"COL12","Income of individuals in 2010 (part 1) - Both sexes / Total income in 2010 of population aged 15 years and over; Both sexes / With income; Both sexes / $50,000 to $59,999; Both sexes"
"COL13","Income of individuals in 2010 (part 1) - Both sexes / Total income in 2010 of population aged 15 years and over; Both sexes / With income; Both sexes / $60,000 to $79,999; Both sexes"
"COL14","Income of individuals in 2010 (part 1) - Both sexes / Total income in 2010 of population aged 15 years and over; Both sexes / With income; Both sexes / $80,000 to $99,999; Both sexes"
"COL15","Income of individuals in 2010 (part 1) - Both sexes / Total income in 2010 of population aged 15 years and over; Both sexes / With income; Both sexes / $100,000 and over; Both sexes"
"COL16","Income of individuals in 2010 (part 1) - Both sexes / Total income in 2010 of population aged 15 years and over; Both sexes / With income; Both sexes / $100,000 and over; Both sexes / $100,000 to $124,999; Both sexes"
"COL17","Income of individuals in 2010 (part 1) - Both sexes / Total income in 2010 of population aged 15 years and over; Both sexes / With income; Both sexes / $100,000 and over; Both sexes / $125,000 and over; Both sexes"
"COL18","Income of individuals in 2010 (part 1) - Both sexes / Total income in 2010 of population aged 15 years and over; Both sexes / Median income $; Both sexes"
"COL19","Income of individuals in 2010 (part 1) - Both sexes / Total income in 2010 of population aged 15 years and over; Both sexes / Average income $; Both sexes"
"COL20","Income of individuals in 2010 (part 1) - Both sexes / After-tax income in 2010 of population 15 years and over; Both sexes"
"COL21","Income of individuals in 2010 (part 1) - Both sexes / After-tax income in 2010 of population 15 years and over; Both sexes / Without after-tax income; Both sexes"
"COL22","Income of individuals in 2010 (part 1) - Both sexes / After-tax income in 2010 of population 15 years and over; Both sexes / With after-tax income; Both sexes"
"COL23","Income of individuals in 2010 (part 1) - Both sexes / After-tax income in 2010 of population 15 years and over; Both sexes / With after-tax income; Both sexes / Under $5,000; Both sexes"
"COL24","Income of individuals in 2010 (part 1) - Both sexes / After-tax income in 2010 of population 15 years and over; Both sexes / With after-tax income; Both sexes / $5,000 to $9,999; Both sexes"
"COL25","Income of individuals in 2010 (part 1) - Both sexes / After-tax income in 2010 of population 15 years and over; Both sexes / With after-tax income; Both sexes / $10,000 to $14,999; Both sexes"
"COL26","Income of individuals in 2010 (part 1) - Both sexes / After-tax income in 2010 of population 15 years and over; Both sexes / With after-tax income; Both sexes / $15,000 to $19,999; Both sexes"
"COL27","Income of individuals in 2010 (part 1) - Both sexes / After-tax income in 2010 of population 15 years and over; Both sexes / With after-tax income; Both sexes / $20,000 to $29,999; Both sexes"
"COL28","Income of individuals in 2010 (part 1) - Both sexes / After-tax income in 2010 of population 15 years and over; Both sexes / With after-tax income; Both sexes / $30,000 to $39,999; Both sexes"
"COL29","Income of individuals in 2010 (part 1) - Both sexes / After-tax income in 2010 of population 15 years and over; Both sexes / With after-tax income; Both sexes / $40,000 to $49,999; Both sexes"
"COL30","Income of individuals in 2010 (part 1) - Both sexes / After-tax income in 2010 of population 15 years and over; Both sexes / With after-tax income; Both sexes / $50,000 to $59,999; Both sexes"
"COL31","Income of individuals in 2010 (part 1) - Both sexes / After-tax income in 2010 of population 15 years and over; Both sexes / With after-tax income; Both sexes / $60,000 to $79,999; Both sexes"
"COL32","Income of individuals in 2010 (part 1) - Both sexes / After-tax income in 2010 of population 15 years and over; Both sexes / With after-tax income; Both sexes / $80,000 to $99,999; Both sexes"
"COL33","Income of individuals in 2010 (part 1) - Both sexes / After-tax income in 2010 of population 15 years and over; Both sexes / With after-tax income; Both sexes / $100,000 and over; Both sexes"
"COL34","Income of individuals in 2010 (part 1) - Both sexes / After-tax income in 2010 of population 15 years and over; Both sexes / Median after-tax income $; Both sexes"
"COL35","Income of individuals in 2010 (part 1) - Both sexes / After-tax income in 2010 of population 15 years and over; Both sexes / Average after-tax income $; Both sexes"
"COL36","Income of individuals in 2010 (part 1) - Both sexes / Composition of total income in 2010 of population 15 years and over %; Both sexes"
"COL37","Income of individuals in 2010 (part 1) - Both sexes / Composition of total income in 2010 of population 15 years and over %; Both sexes / Market income %; Both sexes"
"COL38","Income of individuals in 2010 (part 1) - Both sexes / Composition of total income in 2010 of population 15 years and over %; Both sexes / Market income %; Both sexes / Employment income %; Both sexes"
"COL39","Income of individuals in 2010 (part 1) - Both sexes / Composition of total income in 2010 of population 15 years and over %; Both sexes / Market income %; Both sexes / Employment income %; Both sexes / Wages and salaries %; Both sexes"
"COL40","Income of individuals in 2010 (part 1) - Both sexes / Composition of total income in 2010 of population 15 years and over %; Both sexes / Market income %; Both sexes / Employment income %; Both sexes / Self-employment income %; Both sexes"
"COL41","Income of individuals in 2010 (part 1) - Both sexes / Composition of total income in 2010 of population 15 years and over %; Both sexes / Market income %; Both sexes / Investment income %; Both sexes"
"COL42","Income of individuals in 2010 (part 1) - Both sexes / Composition of total income in 2010 of population 15 years and over %; Both sexes / Market income %; Both sexes / Retirement pensions, superannuation and annuities %; Both sexes"
"COL43","Income of individuals in 2010 (part 1) - Both sexes / Composition of total income in 2010 of population 15 years and over %; Both sexes / Market income %; Both sexes / Other money income %; Both sexes"
"COL44","Income of individuals in 2010 (part 1) - Both sexes / Composition of total income in 2010 of population 15 years and over %; Both sexes / Government transfer payments %; Both sexes"
"COL45","Income of individuals in 2010 (part 1) - Both sexes / Composition of total income in 2010 of population 15 years and over %; Both sexes / Government transfer payments %; Both sexes / Canada/Quebec Pension Plan benefits %; Both sexes"
"COL46","Income of individuals in 2010 (part 1) - Both sexes / Composition of total income in 2010 of population 15 years and over %; Both sexes / Government transfer payments %; Both sexes / Old Age Security pensions and Guaranteed Income Supplement %; Both sexes"
"COL47","Income of individuals in 2010 (part 1) - Both sexes / Composition of total income in 2010 of population 15 years and over %; Both sexes / Government transfer payments %; Both sexes / Employment Insurance benefits %; Both sexes"
"COL48","Income of individuals in 2010 (part 1) - Both sexes / Composition of total income in 2010 of population 15 years and over %; Both sexes / Government transfer payments %; Both sexes / Child benefits %; Both sexes"
"COL49","Income of individuals in 2010 (part 1) - Both sexes / Composition of total income in 2010 of population 15 years and over %; Both sexes / Government transfer payments %; Both sexes / Other income from government sources %; Both sexes"
"COL50","Income of individuals in 2010 (part 1) - Both sexes / Composition of total income in 2010 of population 15 years and over %; Both sexes / Income taxes paid as a % of total income; Both sexes"
"COL51","Income of individuals in 2010 (part 1) - Both sexes / Composition of total income in 2010 of population 15 years and over %; Both sexes / After-tax income as a % of total income; Both sexes"
"COL52","Income of individuals in 2010 (part 1) - Both sexes / Net capital gains or losses as a % of total income; Both sexes"
"COL53","Income of individuals in 2010 (part 1) - Both sexes / Population aged 15 years and over who worked full year, full time and with employment income in 2010; Both sexes"
"COL54","Income of individuals in 2010 (part 1) - Both sexes / Population aged 15 years and over who worked full year, full time and with employment income in 2010; Both sexes / Median employment income in 2010 $; Both sexes"
"COL55","Income of individuals in 2010 (part 1) - Both sexes / Population aged 15 years and over who worked full year, full time and with employment income in 2010; Both sexes / Average employment income in 2010 $; Both sexes"

"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8","COL9","COL10","COL11","COL12","COL13","COL14","COL15","COL16","COL17","COL18","COL19","COL20","COL21","COL22","COL23","COL24","COL25","COL26","COL27","COL28","COL29","COL30","COL31","COL32","COL33","COL34","COL35","COL36","COL37","COL38","COL39","COL40","COL41","COL42","COL43","COL44","COL45","COL46","COL47","COL48","COL49","COL50","COL51","COL52","COL53","COL54","COL55"

5350000.00,0000.00,4546145.00,280260.00,4265880.00,528835.00,311740.00,370940.00,386335.00,553305.00,453695.00,391615.00,304900.00,403920.00,245425.00,315170.00,133865.00,181310.00,29593.00,44462.00,4546140.00,280980.00,4265160.00,535210.00,315735.00,379930.00,414615.00,633640.00,551130.00,447900.00,304985.00,380390.00,141335.00,160290.00,27390.00,36464.00,100.00,89.50,78.50,73.10,5.40,4.70,4.50,1.70,10.50,2.50,2.40,1.30,1.40,2.90,18.00,82.00,2.20,1655860.00,50787.00,65903.00
5350001.00,0001.00,500.00,20.00,475.00,65.00,0.00,15.00,85.00,85.00,0.00,85.00,25.00,35.00,25.00,20.00,0.00,0.00,25306.00,36541.00,495.00,20.00,480.00,65.00,0.00,20.00,80.00,95.00,30.00,80.00,35.00,30.00,0.00,0.00,25271.00,30913.00,100.00,85.60,76.00,75.20,2.10,0.40,7.70,0.70,15.40,4.40,5.70,1.30,1.50,2.80,15.40,84.60,2.80,135.00,60038.00,67264.00
5350002.00,0002.00,560.00,0.00,555.00,75.00,55.00,70.00,65.00,50.00,40.00,15.00,40.00,30.00,100.00,20.00,0.00,15.00,23693.00,44594.00,565.00,0.00,555.00,70.00,60.00,65.00,65.00,50.00,50.00,35.00,20.00,120.00,0.00,15.00,22506.00,36709.00,100.00,91.10,84.00,69.60,15.30,1.80,4.40,0.60,8.70,1.50,3.10,1.00,0.90,2.20,17.50,82.30,0.00,155.00,78651.00,93522.00
5350004.00,0004.00,5685.00,345.00,5340.00,605.00,505.00,610.00,660.00,1005.00,700.00,460.00,150.00,345.00,125.00,165.00,130.00,35.00,22298.00,30175.00,5685.00,345.00,5340.00,610.00,505.00,630.00,690.00,1225.00,735.00,310.00,220.00,305.00,90.00,25.00,21417.00,26313.00,100.00,82.80,77.00,72.90,4.00,3.00,2.20,0.70,17.20,2.60,2.60,2.00,1.60,8.50,12.80,87.20,1.00,1720.00,38746.00,48278.00
5350005.00,0005.00,4585.00,255.00,4330.00,575.00,295.00,625.00,705.00,655.00,510.00,230.00,150.00,265.00,140.00,175.00,80.00,95.00,19854.00,30139.00,4580.00,255.00,4330.00,580.00,305.00,625.00,740.00,735.00,535.00,265.00,165.00,220.00,90.00,60.00,19452.00,26070.00,100.00,80.40,78.30,72.50,5.80,0.60,0.70,0.80,19.70,2.40,4.00,2.20,1.70,9.50,13.50,86.60,-0.20,1415.00,39054.00,49916.00
5350007.01,0007.01,2730.00,150.00,2580.00,300.00,225.00,190.00,315.00,445.00,335.00,270.00,140.00,165.00,110.00,90.00,35.00,60.00,26308.00,33467.00,2730.00,155.00,2575.00,295.00,230.00,190.00,330.00,485.00,445.00,220.00,115.00,170.00,55.00,45.00,25263.00,29036.00,100.00,85.00,80.80,76.80,3.90,1.40,2.10,0.80,14.90,2.10,2.10,1.70,1.50,7.40,13.40,86.60,-0.10,1005.00,41240.00,48165.00
5350007.02,0007.02,4155.00,275.00,3880.00,490.00,350.00,540.00,560.00,645.00,490.00,315.00,205.00,170.00,55.00,55.00,30.00,25.00,19943.00,26665.00,4150.00,275.00,3880.00,490.00,350.00,560.00,625.00,685.00,625.00,260.00,115.00,120.00,25.00,30.00,19623.00,24127.00,100.00,75.90,72.10,70.20,2.00,1.20,2.00,0.70,23.90,2.50,2.60,1.60,2.60,14.60,9.50,90.50,0.30,1095.00,37436.00,43690.00
5350008.00,0008.00,8700.00,235.00,8470.00,775.00,305.00,505.00,405.00,595.00,755.00,800.00,1010.00,1460.00,1000.00,865.00,330.00,535.00,50488.00,59198.00,8700.00,235.00,8470.00,775.00,305.00,510.00,500.00,685.00,965.00,1385.00,1050.00,1490.00,370.00,420.00,43379.00,47257.00,100.00,96.80,86.70,82.60,4.10,2.80,0.70,6.70,3.10,0.50,0.40,0.60,0.30,1.40,20.20,79.80,0.40,4670.00,64983.00,72633.00
5350010.01,0010.01,4145.00,70.00,4075.00,215.00,210.00,155.00,205.00,380.00,255.00,385.00,375.00,650.00,575.00,670.00,290.00,385.00,55675.00,66994.00,4140.00,70.00,4075.00,250.00,170.00,160.00,250.00,425.00,380.00,560.00,455.00,805.00,265.00,345.00,47081.00,52651.00,100.00,96.70,90.20,85.00,5.30,2.30,1.70,2.40,3.40,0.50,0.60,0.80,0.40,1.10,21.40,78.60,0.10,2360.00,67913.00,82389.00
5350010.02,0010.02,6340.00,135.00,6205.00,445.00,325.00,335.00,490.00,680.00,505.00,580.00,595.00,915.00,520.00,815.00,365.00,450.00,45798.00,60550.00,6340.00,135.00,6205.00,450.00,330.00,360.00,505.00,775.00,685.00,880.00,720.00,740.00,360.00,405.00,39993.00,47342.00,100.00,95.50,90.50,82.70,7.90,2.10,1.70,1.10,4.50,0.80,0.90,0.70,0.40,1.70,21.80,78.20,2.70,3225.00,62118.00,76818.00
5350011.00,0011.00,8235.00,355.00,7875.00,640.00,225.00,470.00,265.00,650.00,470.00,860.00,705.00,1320.00,855.00,1410.00,625.00,790.00,53240.00,67199.00,8235.00,355.00,7875.00,640.00,265.00,485.00,330.00,685.00,875.00,1090.00,980.00,1255.00,585.00,680.00,46079.00,52039.00,99.90,97.50,92.30,86.50,5.80,2.60,1.00,1.60,2.50,0.50,0.30,0.60,0.10,1.10,22.60,77.40,3.00,4555.00,66790.00,83174.00
5350012.01,0012.01,5705.00,145.00,5565.00,595.00,310.00,295.00,280.00,535.00,580.00,740.00,495.00,780.00,425.00,535.00,235.00,305.00,43118.00,50342.00,5710.00,140.00,5565.00,610.00,305.00,295.00,310.00,675.00,830.00,785.00,580.00,700.00,205.00,275.00,38163.00,40639.00,100.00,96.30,89.90,87.30,2.70,4.30,1.20,0.80,3.80,0.40,0.50,1.20,0.10,1.50,19.30,80.70,2.30,2920.00,55821.00,64191.00
5350012.02,0012.02,10180.00,235.00,9940.00,1110.00,335.00,510.00,290.00,780.00,740.00,1035.00,990.00,1690.00,895.00,1560.00,735.00,825.00,51007.00,60790.00,10175.00,240.00,9935.00,1135.00,335.00,505.00,390.00,860.00,1135.00,1465.00,1230.00,1485.00,670.00,725.00,43711.00,48072.00,100.00,97.10,91.10,86.80,4.30,3.90,1.20,0.90,2.90,0.60,0.50,0.60,0.10,1.10,21.00,79.00,1.50,5220.00,69188.00,81379.00
5350013.00,0013.00,9915.00,355.00,9555.00,920.00,535.00,475.00,530.00,1035.00,755.00,635.00,790.00,1315.00,755.00,1810.00,660.00,1145.00,48092.00,74314.00,9910.00,355.00,9555.00,930.00,540.00,490.00,605.00,1070.00,1055.00,995.00,965.00,1245.00,675.00,980.00,41134.00,56047.00,99.90,95.50,85.30,78.00,7.20,5.50,3.50,1.20,4.50,1.30,1.20,0.50,0.30,1.20,24.60,75.40,3.00,4420.00,69444.00,106521.00
5350015.00,0015.00,3155.00,100.00,3050.00,280.00,105.00,125.00,130.00,310.00,285.00,255.00,195.00,505.00,295.00,575.00,195.00,380.00,52199.00,69566.00,3155.00,100.00,3055.00,285.00,110.00,125.00,145.00,340.00,360.00,345.00,325.00,475.00,195.00,345.00,45170.00,54169.00,100.00,96.00,85.90,78.90,7.20,4.70,3.90,1.40,4.10,1.10,0.80,0.70,0.20,1.20,22.10,77.90,1.10,1655.00,69671.00,91052.00
5350016.00,0016.00,5380.00,145.00,5235.00,350.00,190.00,245.00,340.00,380.00,380.00,450.00,500.00,970.00,590.00,825.00,430.00,395.00,54891.00,63151.00,5380.00,145.00,5235.00,350.00,205.00,245.00,340.00,485.00,530.00,710.00,700.00,950.00,355.00,360.00,45747.00,50012.00,100.00,96.20,88.70,84.70,4.10,3.70,2.70,1.20,3.70,0.70,0.50,0.70,0.40,1.30,20.80,79.30,0.20,3055.00,66863.00,76644.00
5350017.00,0017.00,6120.00,220.00,5900.00,485.00,335.00,420.00,490.00,600.00,670.00,555.00,560.00,825.00,495.00,465.00,260.00,205.00,39358.00,47070.00,6115.00,220.00,5895.00,485.00,345.00,420.00,540.00,715.00,860.00,730.00,565.00,790.00,255.00,185.00,35328.00,39118.00,100.00,90.80,83.60,80.40,3.30,1.60,4.70,1.00,9.20,2.30,2.00,1.00,0.90,2.90,16.90,83.20,0.50,2905.00,59844.00,65402.00
5350018.00,0018.00,1785.00,45.00,1740.00,130.00,115.00,230.00,60.00,155.00,115.00,275.00,110.00,190.00,170.00,185.00,90.00,95.00,41736.00,55009.00,1790.00,45.00,1745.00,135.00,125.00,225.00,60.00,220.00,230.00,215.00,125.00,240.00,85.00,85.00,36513.00,43722.00,100.30,93.50,88.00,84.40,3.50,3.80,1.10,0.90,6.20,0.90,0.40,1.30,0.50,3.10,20.50,79.50,-0.10,830.00,50470.00,78078.00
