Tract,Income
535,105.4
5350001.00,136.8
5350002.00,126.3
5350003.00,166.3
5350004.00,74.2
5350005.00,93.6
5350006.00,
5350007.01,93.9
5350007.02,79.9
5350008.01,201.2
5350008.02,165.9
5350009.00,69.9
5350010.01,195.7
5350010.02,171.9
5350011.00,201.5
5350012.01,144.9
5350012.03,182.1
5350012.04,174.1
5350013.01,189.9
5350013.02,197.0
5350014.00,210.8
5350015.00,201.4
5350016.00,191.0
5350017.00,138.8
5350018.00,181.6
5350019.00,95.6
5350020.00,239.5
5350021.00,153.1
5350022.00,187.2
5350023.00,195.6
5350024.00,168.2
5350025.00,134.4
5350026.00,110.1
5350027.00,104.2
5350028.01,194.0
5350028.02,144.6
5350029.00,95.9
5350030.00,98.0
5350031.00,59.0
5350032.00,63.0
5350033.00,58.7
5350034.01,113.2
5350034.02,109.6
5350035.00,88.7
5350036.00,95.0
5350037.00,65.5
5350038.00,62.6
5350039.00,59.3
5350040.00,81.5
5350041.00,102.7
5350042.00,105.3
5350043.00,113.6
5350044.00,132.0
5350045.00,100.6
5350046.00,86.9
5350047.02,67.9
5350047.03,162.6
5350047.04,119.3
5350048.00,120.5
5350049.00,143.7
5350050.01,172.5
5350050.03,195.5
5350050.04,140.3
5350051.00,143.3
5350052.00,145.9
5350053.00,101.9
5350054.00,100.5
5350055.00,114.9
5350056.00,108.1
5350057.00,119.2
5350058.00,109.9
5350059.00,100.1
5350060.00,106.9
5350061.00,63.5
5350062.01,93.3
5350062.02,80.2
5350063.03,137.0
5350063.04,107.2
5350063.05,118.1
5350063.06,121.8
5350064.00,137.2
5350065.01,93.8
5350065.02,62.9
5350066.00,114.0
5350067.00,217.2
5350068.00,149.7
5350069.00,143.1
5350070.00,152.1
5350071.00,149.6
5350072.01,81.3
5350072.02,121.7
5350073.00,90.2
5350074.00,98.9
5350075.00,108.9
5350076.00,123.0
5350077.00,144.6
5350078.00,130.3
5350079.00,167.2
5350080.01,126.8
5350080.02,72.7
5350081.00,111.9
5350082.00,135.1
5350083.00,98.7
5350084.00,144.5
5350085.00,133.9
5350086.00,266.3
5350087.00,229.6
5350088.00,159.8
5350089.00,199.7
5350090.00,189.2
5350091.01,147.8
5350091.02,112.1
5350092.00,129.4
5350093.00,125.5
5350094.00,95.9
5350095.00,95.9
5350096.01,92.8
5350096.02,96.0
5350097.01,78.9
5350097.03,58.7
5350097.04,104.1
5350098.00,96.8
5350099.00,113.3
5350100.00,137.7
5350101.00,125.9
5350102.02,117.3
5350102.03,139.2
5350102.04,152.0
5350102.05,165.1
5350103.00,183.6
5350104.00,182.4
5350105.00,129.8
5350106.00,96.8
5350107.00,90.3
5350108.00,75.3
5350109.00,109.8
5350110.00,98.8
5350111.00,97.7
5350112.00,94.3
5350113.00,110.1
5350114.00,102.2
5350115.00,90.9
5350116.00,133.1
