Tract,Income
535,31705.0
5350001.00,41165.0
5350002.00,38016.0
5350003.00,50048.0
5350004.00,22315.0
5350005.00,28152.0
5350006.00,
5350007.01,28245.0
5350007.02,24054.0
5350008.01,60550.0
5350008.02,49924.0
5350009.00,21024.0
5350010.01,58896.0
5350010.02,51729.0
5350011.00,60626.0
5350012.01,43592.0
5350012.03,54799.0
5350012.04,52378.0
5350013.01,57152.0
5350013.02,59281.0
5350014.00,63424.0
5350015.00,60601.0
5350016.00,57460.0
5350017.00,41750.0
5350018.00,54630.0
5350019.00,28762.0
5350020.00,72050.0
5350021.00,46068.0
5350022.00,56320.0
5350023.00,58848.0
5350024.00,50615.0
5350025.00,40425.0
5350026.00,33138.0
5350027.00,31366.0
5350028.01,58368.0
5350028.02,43520.0
5350029.00,28855.0
5350030.00,29483.0
5350031.00,17750.0
5350032.00,18944.0
5350033.00,17677.0
5350034.01,34066.0
5350034.02,32981.0
5350035.00,26688.0
5350036.00,28596.0
5350037.00,19699.0
5350038.00,18829.0
5350039.00,17856.0
5350040.00,24537.0
5350041.00,30906.0
5350042.00,31676.0
5350043.00,34176.0
5350044.00,39718.0
5350045.00,30272.0
5350046.00,26133.0
5350047.02,20423.0
5350047.03,48928.0
5350047.04,35895.0
5350048.00,36250.0
5350049.00,43250.0
5350050.01,51904.0
5350050.03,58816.0
5350050.04,42217.0
5350051.00,43123.0
5350052.00,43904.0
5350053.00,30673.0
5350054.00,30253.0
5350055.00,34560.0
5350056.00,32539.0
5350057.00,35856.0
5350058.00,33075.0
5350059.00,30123.0
5350060.00,32160.0
5350061.00,19104.0
5350062.01,28059.0
5350062.02,24133.0
5350063.03,41216.0
5350063.04,32256.0
5350063.05,35547.0
5350063.06,36636.0
5350064.00,41296.0
5350065.01,28224.0
5350065.02,18935.0
5350066.00,34313.0
5350067.00,65344.0
5350068.00,45056.0
5350069.00,43063.0
5350070.00,45760.0
5350071.00,45001.0
5350072.01,24448.0
5350072.02,36608.0
5350073.00,27136.0
5350074.00,29747.0
5350075.00,32768.0
5350076.00,37007.0
5350077.00,43520.0
5350078.00,39211.0
5350079.00,50318.0
5350080.01,38165.0
5350080.02,21872.0
5350081.00,33664.0
5350082.00,40640.0
5350083.00,29696.0
5350084.00,43477.0
5350085.00,40294.0
5350086.00,80128.0
5350087.00,69072.0
5350088.00,48096.0
5350089.00,60089.0
5350090.00,56932.0
5350091.01,44459.0
5350091.02,33741.0
5350092.00,38950.0
5350093.00,37760.0
5350094.00,28847.0
5350095.00,28864.0
5350096.01,27936.0
5350096.02,28890.0
5350097.01,23735.0
5350097.03,17648.0
5350097.04,31328.0
5350098.00,29131.0
5350099.00,34078.0
5350100.00,41446.0
5350101.00,37870.0
5350102.02,35289.0
5350102.03,41882.0
5350102.04,45739.0
5350102.05,49664.0
5350103.00,55241.0
5350104.00,54886.0
5350105.00,39063.0
5350106.00,29120.0
5350107.00,27163.0
5350108.00,22651.0
5350109.00,33024.0
5350110.00,29734.0
5350111.00,29408.0
5350112.00,28368.0
5350113.00,33131.0
5350114.00,30757.0
5350115.00,27341.0
5350116.00,40044.0
5350117.00,51866.0
5350118.00,54336.0
5350119.00,52992.0
5350120.00,66048.0
5350121.00,64192.0
5350122.00,55552.0
5350123.00,40960.0
5350124.00,53783.0
5350125.00,78976.0
5350126.00,62400.0
5350127.00,55760.0
5350128.02,48568.0
5350128.04,48435.0
5350128.05,51712.0
5350128.06,37649.0
5350129.00,52480.0
5350130.00,65493.0
5350131.00,57267.0
5350132.00,43840.0
5350133.00,34466.0
5350134.00,67520.0
5350135.00,45739.0
5350136.01,37707.0
5350136.02,37490.0
5350137.00,45807.0
5350138.00,63509.0
5350139.01,54528.0
5350139.02,64064.0
5350140.00,76160.0
5350141.01,62613.0
5350141.02,64750.0
5350142.00,64128.0
5350150.00,61408.0
5350151.00,27790.0
5350152.00,46308.0
5350153.00,28295.0
5350154.00,32018.0
5350155.00,22752.0
5350156.01,20656.0
5350156.02,27328.0
5350157.00,25877.0
5350158.00,21696.0
5350159.01,25915.0
5350159.02,27703.0
5350160.00,29715.0
5350161.00,27721.0
5350162.00,26257.0
5350163.00,28915.0
5350164.00,29978.0
5350165.00,35920.0
5350166.00,45803.0
5350167.01,44224.0
5350167.02,31354.0
5350168.00,25024.0
5350169.01,26931.0
5350169.02,27693.0
5350170.00,26539.0
5350171.00,23131.0
5350172.00,28070.0
5350173.00,23797.0
5350174.00,25308.0
5350175.01,23339.0
5350175.02,23386.0
5350176.00,34483.0
5350180.00,24932.0
5350181.01,42027.0
5350181.02,30891.0
5350182.00,44594.0
5350183.01,38096.0
5350183.02,42251.0
5350184.01,29216.0
5350184.02,31794.0
5350185.01,29032.0
5350185.02,33764.0
5350186.00,59776.0
5350187.00,40169.0
5350188.00,42240.0
5350189.00,29210.0
5350190.01,21342.0
5350190.02,24539.0
5350191.00,35248.0
5350192.00,24939.0
5350193.00,30912.0
5350194.01,17194.0
5350194.02,19149.0
5350194.03,20069.0
5350194.04,25234.0
5350195.01,53632.0
5350195.02,60288.0
5350196.01,58470.0
5350196.02,59878.0
5350200.01,29760.0
5350200.02,33408.0
5350201.00,35480.0
5350202.00,41600.0
5350203.00,38272.0
5350204.00,35858.0
5350205.00,
5350206.01,35648.0
5350206.02,33144.0
5350207.00,29856.0
5350208.00,22768.0
5350209.00,25749.0
5350210.01,43344.0
5350210.02,51546.0
5350211.00,34748.0
5350212.00,38784.0
5350213.01,39505.0
5350213.02,45028.0
5350214.00,44396.0
5350215.00,40615.0
5350216.00,52992.0
5350217.00,26857.0
5350218.00,68672.0
5350219.00,45632.0
5350220.00,37632.0
5350221.01,43955.0
5350221.02,29205.0
5350222.01,36955.0
5350222.02,29555.0
5350223.01,49472.0
5350223.02,45611.0
5350224.00,61632.0
5350225.01,39450.0
5350225.02,29591.0
5350226.00,63130.0
5350227.00,70656.0
5350228.00,61824.0
5350229.00,66432.0
5350230.01,50400.0
5350230.02,33216.0
5350231.00,48768.0
5350232.00,61879.0
5350233.00,43413.0
5350234.00,40137.0
5350235.01,39573.0
5350235.02,32875.0
5350236.01,30498.0
5350236.02,37644.0
5350237.01,25328.0
5350237.02,32768.0
5350237.03,32523.0
5350238.01,43213.0
5350238.02,29547.0
5350239.00,28233.0
5350240.01,43115.0
5350240.02,32594.0
5350241.00,40320.0
5350242.00,25088.0
5350243.01,19814.0
5350243.02,28166.0
5350244.01,26005.0
5350244.02,23206.0
5350245.00,26022.0
5350246.00,28144.0
5350247.01,25383.0
5350247.02,28078.0
5350248.02,18756.0
5350248.03,25120.0
5350248.04,24049.0
5350248.05,22011.0
5350249.01,24875.0
5350249.03,24587.0
5350249.04,23634.0
5350249.05,19033.0
5350250.01,22843.0
5350250.02,27541.0
5350250.04,23360.0
5350250.05,19863.0
5350260.01,22121.0
5350260.04,17920.0
5350260.05,17408.0
5350260.06,23701.0
5350260.07,26438.0
5350261.00,20424.0
5350262.01,30197.0
5350262.02,26923.0
5350263.02,43008.0
5350263.03,36472.0
5350263.04,39435.0
5350264.00,58795.0
5350265.00,73376.0
5350266.00,64973.0
5350267.00,53440.0
5350268.00,43894.0
5350269.01,22413.0
5350269.02,47726.0
5350270.01,31083.0
5350270.02,33037.0
5350271.01,42283.0
5350271.02,28352.0
5350272.01,24512.0
5350272.02,31373.0
5350273.01,44501.0
5350273.02,40171.0
5350274.01,38747.0
5350274.02,46016.0
5350275.00,57643.0
5350276.01,44199.0
5350276.02,53783.0
5350277.00,44211.0
5350278.00,32262.0
5350279.01,31898.0
5350279.02,27072.0
5350280.00,25880.0
5350281.01,24024.0
5350281.02,24474.0
5350282.00,33760.0
5350283.01,24082.0
5350283.02,22821.0
5350284.00,26976.0
5350285.00,29431.0
5350286.00,28624.0
5350287.02,26868.0
5350287.03,21062.0
5350287.04,31131.0
5350288.00,32694.0
5350289.00,28151.0
5350290.01,24853.0
5350290.02,32973.0
5350291.02,24967.0
5350291.03,26624.0
5350291.04,27840.0
5350292.00,26202.0
5350293.00,30170.0
5350294.01,26923.0
5350294.02,24875.0
5350295.00,26653.0
5350296.00,
5350297.01,27893.0
5350297.02,32679.0
5350298.00,40229.0
5350299.01,38976.0
5350299.02,34034.0
5350300.00,36821.0
5350301.01,36608.0
5350301.03,21483.0
5350301.04,23872.0
5350302.01,30386.0
5350302.02,23456.0
5350302.03,22208.0
5350303.00,20576.0
5350304.01,22394.0
5350304.02,40533.0
